"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.651496375E0,2.383570075E-1,8.025008440E-2,2.839465141E-1
2.661478375E0,2.358916402E-1,9.603334218E-2,2.442486882E-1
2.671460375E0,1.700114310E-1,2.222384214E-1,1.997286379E-1
2.681442375E0,1.036084294E-1,4.022854567E-1,1.493192166E-1
2.691424375E0,1.939862384E-3,5.475161672E-1,9.588740766E-2
2.701406375E0,-2.287563384E-1,4.171092808E-1,-3.281597793E-2
2.711388375E0,-5.160248280E-1,1.696270704E-1,-1.987298578E-1
2.721370375E0,-7.384456992E-1,-8.578007668E-2,-4.098693430E-1
2.731352375E0,-8.971908689E-1,-4.456120133E-1,-6.624068022E-1
2.741333375E0,-1.022699833E0,-8.365667462E-1,-8.637039065E-1
2.751315375E0,-1.171916485E0,-8.973259926E-1,-9.822689295E-1
2.761297375E0,-1.483931541E0,-6.412864327E-1,-1.072383523E0
2.771279375E0,-1.924947262E0,-3.341973126E-1,-1.079258204E0
2.781261375E0,-2.428808689E0,-2.082317024E-1,-1.027841568E0
2.791243375E0,-2.736512184E0,-4.639910161E-1,-9.729467034E-1
2.801225375E0,-2.780533314E0,-8.635249734E-1,-9.796057343E-1
2.811207375E0,-2.598835945E0,-1.094155788E0,-9.650584459E-1
2.821188375E0,-2.345271111E0,-1.045012355E0,-8.450278640E-1
2.831170375E0,-2.287626982E0,-7.618553638E-1,-6.704842448E-1
2.841152375E0,-2.371510744E0,-4.826025665E-1,-4.884512722E-1
2.851134375E0,-2.527790546E0,-3.546533883E-1,-3.669426739E-1
2.861116375E0,-2.627203941E0,-4.020055532E-1,-2.882229686E-1
2.871098375E0,-2.556717634E0,-3.136879504E-1,-2.424104661E-1
2.881080375E0,-2.394058943E0,4.329543188E-2,-2.620598972E-1
2.891062375E0,-2.176020145E0,5.187631249E-1,-3.610591888E-1
2.901044375E0,-2.018043280E0,8.508120179E-1,-5.479166508E-1
2.911025375E0,-1.986811996E0,9.168797135E-1,-6.038126945E-1
2.921007375E0,-1.940660000E0,7.719495296E-1,-6.204184890E-1
2.930989375E0,-1.729102015E0,6.422250867E-1,-6.612303853E-1
