C,participant,context,session,axis,n_outliers,pct_outliers
2.0,Ana,crowded,session_1,acc_z,1,0.005525167136305873
2.0,Ana,crowded,session_1,gyro_x,0,0.0
2.0,Ana,crowded,session_1,gyro_y,0,0.0
2.0,Ana,crowded,session_1,gyro_z,0,0.0
2.0,Ana,crowded,session_2,acc_x,18,0.1093759494440056
2.0,Ana,crowded,session_2,acc_y,12,0.07291729962933706
2.0,Ana,crowded,session_2,acc_z,11,0.06684085799355897
2.0,Ana,crowded,session_2,gyro_x,0,0.0
2.0,Ana,crowded,session_2,gyro_y,0,0.0
2.0,Ana,crowded,session_2,gyro_z,27,0.16406392416600837
2.0,Asena,crowded,session_1,acc_x,1,0.005579423087652737
2.0,Asena,crowded,session_1,acc_y,1,0.005579423087652737
2.0,Asena,crowded,session_1,acc_z,4,0.022317692350610947
2.0,Asena,crowded,session_1,gyro_x,0,0.0
2.0,Asena,crowded,session_1,gyro_y,0,0.0
2.0,Asena,crowded,session_1,gyro_z,0,0.0
2.0,Asena,crowded,session_2,acc_x,5,0.0278955590270029
2.0,Asena,crowded,session_2,acc_y,10,0.0557911180540058
2.0,Asena,crowded,session_2,acc_z,3,0.016737335416201742
2.0,Asena,crowded,session_2,gyro_x,0,0.0
2.0,Asena,crowded,session_2,gyro_y,6,0.033474670832403484
2.0,Asena,crowded,session_2,gyro_z,0,0.0
2.0,Darius,crowded,session_1,acc_x,25,0.14315162620247365
2.0,Darius,crowded,session_1,acc_y,69,0.3950984883188273
2.0,Darius,crowded,session_1,acc_z,30,0.1717819514429684
2.0,Darius,crowded,session_1,gyro_x,0,0.0
2.0,Darius,crowded,session_1,gyro_y,7,0.04008245533669263
2.0,Darius,crowded,session_1,gyro_z,0,0.0
2.0,Darius,crowded,session_2,acc_x,25,0.1396726074082351
2.0,Darius,crowded,session_2,acc_y,70,0.39108330074305825
2.0,Darius,crowded,session_2,acc_z,32,0.17878093748254092
2.0,Darius,crowded,session_2,gyro_x,0,0.0
2.0,Darius,crowded,session_2,gyro_y,6,0.03352142577797642
2.0,Darius,crowded,session_2,gyro_z,0,0.0
2.0,Darius,normal,session_1,acc_x,6,0.03327048907618942
2.0,Darius,normal,session_1,acc_y,64,0.35488521681268714
2.0,Darius,normal,session_1,acc_z,27,0.1497172008428524
2.0,Darius,normal,session_1,gyro_x,0,0.0
2.0,Darius,normal,session_1,gyro_y,2,0.011090163025396473
2.0,Darius,normal,session_1,gyro_z,0,0.0
2.0,Darius,normal,session_2,acc_x,9,0.04990850108135086
2.0,Darius,normal,session_2,acc_y,49,0.2717240614429102
2.0,Darius,normal,session_2,acc_z,24,0.1330893362169356
2.0,Darius,normal,session_2,gyro_x,0,0.0
2.0,Darius,normal,session_2,gyro_y,1,0.005545389009038984
2.0,Darius,normal,session_2,gyro_z,10,0.05545389009038984
2.0,Darius,normal,session_3,acc_x,11,0.06099927909942882
2.0,Darius,normal,session_3,acc_y,52,0.2883602284700272
2.0,Darius,normal,session_3,acc_z,24,0.1330893362169356
2.0,Darius,normal,session_3,gyro_x,0,0.0
2.0,Darius,normal,session_3,gyro_y,2,0.011090778018077969
2.0,Darius,normal,session_3,gyro_z,0,0.0
2.0,Jun,crowded,session_1,acc_x,6,0.03327048907618942
2.0,Jun,crowded,session_1,acc_y,6,0.03327048907618942
2.0,Jun,crowded,session_1,acc_z,121,0.6709548630364867
2.0,Jun,crowded,session_1,gyro_x,0,0.0
2.0,Jun,crowded,session_1,gyro_y,17,0.09426638571587002
2.0,Jun,crowded,session_1,gyro_z,6,0.03327048907618942
2.0,Jun,crowded,session_2,acc_x,6,0.0332723340542339
2.0,Jun,crowded,session_2,acc_y,6,0.0332723340542339
2.0,Jun,crowded,session_2,acc_z,101,0.5600842899129373
2.0,Jun,crowded,session_2,gyro_x,0,0.0
2.0,Jun,crowded,session_2,gyro_y,27,0.14972550324405257
2.0,Jun,crowded,session_2,gyro_z,0,0.0
2.0,Jun,normal,session_1,acc_x,1,0.005545081512698237
2.0,Jun,normal,session_1,acc_y,2,0.011090163025396473
2.0,Jun,normal,session_1,acc_z,137,0.7596761672396585
2.0,Jun,normal,session_1,gyro_x,0,0.0
2.0,Jun,normal,session_1,gyro_y,4,0.022180326050792946
2.0,Jun,normal,session_1,gyro_z,3,0.01663524453809471
2.0,Jun,normal,session_2,acc_x,4,0.022177866489243733
2.0,Jun,normal,session_2,acc_y,17,0.09425593257928587
2.0,Jun,normal,session_2,acc_z,90,0.499001996007984
2.0,Jun,normal,session_2,gyro_x,0,0.0
2.0,Jun,normal,session_2,gyro_y,18,0.0998003992015968
2.0,Jun,normal,session_2,gyro_z,0,0.0
2.0,Jun,normal,session_3,acc_x,1,0.005543544542380398
2.0,Jun,normal,session_3,acc_y,1,0.005543544542380398
2.0,Jun,normal,session_3,acc_z,171,0.9479461167470481
2.0,Jun,normal,session_3,gyro_x,0,0.0
2.0,Jun,normal,session_3,gyro_y,6,0.03326126725428239
2.0,Jun,normal,session_3,gyro_z,0,0.0
2.0,Oana,crowded,session_1,acc_x,7,0.03873395307658256
2.0,Oana,crowded,session_1,acc_y,139,0.769145639663568
2.0,Oana,crowded,session_1,acc_z,14,0.07746790615316512
2.0,Oana,crowded,session_1,gyro_x,0,0.0
2.0,Oana,crowded,session_1,gyro_y,0,0.0
2.0,Oana,crowded,session_1,gyro_z,0,0.0
2.0,Oana,crowded,session_2,acc_x,0,0.0
2.0,Oana,crowded,session_2,acc_y,139,0.7691882020917492
2.0,Oana,crowded,session_2,acc_z,4,0.02213491229041005
2.0,Oana,crowded,session_2,gyro_x,0,0.0
2.0,Oana,crowded,session_2,gyro_y,0,0.0
2.0,Oana,crowded,session_2,gyro_z,0,0.0
2.0,Oana,normal,session_1,acc_x,0,0.0
2.0,Oana,normal,session_1,acc_y,140,0.7763544612654578
2.0,Oana,normal,session_1,acc_z,0,0.0
2.0,Oana,normal,session_1,gyro_x,0,0.0
2.0,Oana,normal,session_1,gyro_y,2,0.011090778018077969
2.0,Oana,normal,session_1,gyro_z,0,0.0
2.0,Oana,normal,session_2,acc_x,0,0.0
2.0,Oana,normal,session_2,acc_y,104,0.5765286324075614
2.0,Oana,normal,session_2,acc_z,0,0.0
2.0,Oana,normal,session_2,gyro_x,0,0.0
2.0,Oana,normal,session_2,gyro_y,1,0.005543544542380398
2.0,Oana,normal,session_2,gyro_z,0,0.0
2.0,Oana,normal,session_3,acc_x,0,0.0
2.0,Oana,normal,session_3,acc_y,117,0.6488464951197871
2.0,Oana,normal,session_3,acc_z,0,0.0
2.0,Oana,normal,session_3,gyro_x,0,0.0
2.0,Oana,normal,session_3,gyro_y,0,0.0
2.0,Oana,normal,session_3,gyro_z,0,0.0
2.0,Pedro,crowded,session_1,acc_x,64,0.3575219261493771
2.0,Pedro,crowded,session_1,acc_y,101,0.5642142897044857
2.0,Pedro,crowded,session_1,acc_z,15,0.08379420144126026
2.0,Pedro,crowded,session_1,gyro_x,0,0.0
2.0,Pedro,crowded,session_1,gyro_y,0,0.0
2.0,Pedro,crowded,session_1,gyro_z,0,0.0
2.0,Pedro,crowded,session_2,acc_x,14,0.0782122905027933
2.0,Pedro,crowded,session_2,acc_y,102,0.5698324022346368
2.0,Pedro,crowded,session_2,acc_z,22,0.12290502793296089
2.0,Pedro,crowded,session_2,gyro_x,0,0.0
2.0,Pedro,crowded,session_2,gyro_y,0,0.0
2.0,Pedro,crowded,session_2,gyro_z,9,0.05027932960893855
2.0,Pedro,normal,session_1,acc_x,11,0.06099927909942882
2.0,Pedro,normal,session_1,acc_y,85,0.4713580657683136
2.0,Pedro,normal,session_1,acc_z,56,0.3105417845061831
2.0,Pedro,normal,session_1,gyro_x,0,0.0
2.0,Pedro,normal,session_1,gyro_y,0,0.0
2.0,Pedro,normal,session_1,gyro_z,0,0.0
2.0,Pedro,normal,session_2,acc_x,22,0.1219917932793612
2.0,Pedro,normal,session_2,acc_y,102,0.5655983142952201
2.0,Pedro,normal,session_2,acc_z,50,0.27725407563491183
2.0,Pedro,normal,session_2,gyro_x,0,0.0
2.0,Pedro,normal,session_2,gyro_y,0,0.0
2.0,Pedro,normal,session_2,gyro_z,0,0.0
2.0,Pedro,normal,session_3,acc_x,46,0.2550737495841189
2.0,Pedro,normal,session_3,acc_y,67,0.37152046135078187
2.0,Pedro,normal,session_3,acc_z,21,0.11644671176666296
2.0,Pedro,normal,session_3,gyro_x,0,0.0
2.0,Pedro,normal,session_3,gyro_y,0,0.0
2.0,Pedro,normal,session_3,gyro_z,0,0.0
2.5,Ana,crowded,session_1,acc_x,0,0.0
2.5,Ana,crowded,session_1,acc_y,3,0.01657550140891762
