"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.600114625E0,-3.630388975E0,-9.563443065E-1,-2.907602489E-1
1.610096625E0,-3.514220238E0,-6.911073923E-1,-2.174078822E-1
1.620078625E0,-3.247165442E0,-1.703379601E-1,-1.858217418E-1
1.630060625E0,-2.871233940E0,4.364150763E-1,-4.122733325E-2
1.640042625E0,-2.559086561E0,1.011918545E0,9.875266999E-2
1.650024625E0,-2.335845470E0,1.458883524E0,1.621907502E-1
1.660007625E0,-2.135183811E0,1.638327122E0,1.404686719E-1
1.669989625E0,-1.988832712E0,1.551544666E0,1.029428169E-1
1.679971625E0,-1.898459077E0,1.229471326E0,9.411736578E-2
1.689953625E0,-1.870997787E0,6.852595806E-1,1.090162620E-1
1.699935625E0,-1.864473462E0,2.316127568E-1,1.006443501E-1
1.709917750E0,-1.811245799E0,1.425676793E-1,1.044868231E-1
1.719899750E0,-1.728905678E0,9.452398866E-2,1.356612593E-1
1.729881750E0,-1.736697197E0,2.156585269E-2,1.851518750E-1
1.739863750E0,-1.790435195E0,-1.106614247E-1,2.290562242E-1
1.749845750E0,-1.824757814E0,-3.537962735E-1,7.949039340E-2
1.759827750E0,-1.804048896E0,-4.914044738E-1,-1.094816625E-1
1.769809750E0,-1.739945769E0,-4.696429372E-1,-2.804714739E-1
1.779791750E0,-1.667811871E0,-5.117512345E-1,-3.871769011E-1
1.789773750E0,-1.634122491E0,-7.191655636E-1,-4.645312428E-1
1.799755750E0,-1.628354311E0,-1.107572317E0,-4.700799286E-1
1.809737750E0,-1.604357719E0,-1.552751422E0,-4.090359807E-1
1.819720750E0,-1.503485680E0,-1.831338882E0,-3.583246171E-1
1.829702750E0,-1.300871730E0,-1.745549202E0,-3.578302264E-1
1.839684750E0,-1.042940021E0,-1.430218935E0,-3.711884022E-1
1.849666750E0,-7.107412219E-1,-1.038204908E0,-2.821142972E-1
1.859648750E0,-2.734676898E-1,-5.488317609E-1,-7.605433464E-2
1.869630750E0,9.827649593E-2,-2.106152326E-1,4.464861378E-2
1.879612750E0,3.619385064E-1,-4.975896701E-2,7.512503117E-2
1.889594750E0,5.841500759E-1,2.344532311E-2,7.613529265E-2
1.899576750E0,8.266548514E-1,3.735154867E-2,5.890996382E-2
1.909558750E0,1.085036874E0,-2.328185551E-2,4.433840141E-2
1.919540750E0,1.341951132E0,-1.084281728E-1,3.887332976E-2
1.929522750E0,1.592527270E0,-2.200785577E-1,3.993175924E-2
1.939504750E0,1.841604710E0,-3.276095390E-1,3.999913484E-2
1.949486750E0,2.084730864E0,-3.966838419E-1,3.464983776E-2
1.959468750E0,2.314047813E0,-4.165507555E-1,4.093276709E-2
1.969450750E0,2.500647783E0,-4.121528566E-1,9.214103222E-2
1.979432750E0,2.596279860E0,-3.891343474E-1,1.706438214E-1
1.989415750E0,2.515372753E0,-3.318420053E-1,2.741593421E-1
1.999397750E0,2.206767559E0,-1.329307854E-1,3.422363997E-1
2.009379750E0,1.603533506E0,3.120831847E-1,3.001347482E-1
2.019361750E0,7.545015216E-1,8.235783577E-1,8.768665045E-2
2.029343750E0,-8.980425447E-2,9.756135345E-1,-2.882609367E-1
2.039325750E0,-8.272274137E-1,2.897936702E-1,-7.094771266E-1
2.049307750E0,-1.242612004E0,-8.088007569E-1,-9.110108614E-1
2.059289750E0,-1.248503089E0,-1.334055185E0,-9.349036813E-1
2.069271750E0,-9.648933411E-1,-1.126149416E0,-8.459311128E-1
2.079253750E0,-5.237585306E-1,-6.921084523E-1,-6.243126988E-1
2.089235750E0,-1.846220717E-2,-6.309086084E-2,-3.955860436E-1
2.099217750E0,4.804823697E-1,5.340971947E-1,-1.198551059E-1
2.109199750E0,9.182531238E-1,9.757680297E-1,1.815076321E-1
2.119181750E0,1.213182449E0,1.369849324E0,4.220485985E-1
2.129163750E0,1.316094518E0,1.736675143E0,5.496882796E-1
2.139145750E0,1.309166551E0,1.792907476E0,5.651804209E-1
2.149127750E0,1.245744228E0,1.184095740E0,4.813593626E-1
2.159110750E0,1.144135594E0,-1.459311098E-1,2.109766304E-1
2.169092750E0,8.015091419E-1,-1.191071033E0,-5.935966596E-2
2.179074750E0,1.689063609E-1,-9.995166063E-1,-1.173566580E-1
2.189056750E0,-1.157025471E-1,-7.523056120E-2,3.242190927E-2
2.199038750E0,-2.218831517E-2,6.437398195E-1,2.324556708E-1
2.209020750E0,1.722712964E-1,9.773839116E-1,3.585523069E-1
2.219002750E0,3.966681659E-1,1.044849515E0,3.880401552E-1
2.228984750E0,6.769762039E-1,1.042748094E0,4.412347674E-1
2.238966750E0,9.522613287E-1,1.062945485E0,5.536249876E-1
2.248948750E0,1.121250510E0,9.652355909E-1,7.064564228E-1
2.258930750E0,1.162471414E0,6.149507761E-1,7.871789932E-1
2.268912750E0,1.161845207E0,-4.637259990E-2,7.870617509E-1
2.278894750E0,1.218872786E0,-8.029447198E-1,7.195117474E-1
2.288876750E0,1.370274544E0,-1.311297894E0,5.548228025E-1
2.298858750E0,1.598471761E0,-1.430166006E0,2.995737195E-1
