"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.238983250E0,-7.414772511E-1,6.280919909E-1,-5.589330792E-1
1.248964250E0,-1.120160818E0,1.131827012E-2,-6.533182859E-1
1.258946250E0,-1.444861412E0,-4.775664508E-1,-6.974574924E-1
1.268928250E0,-1.845917940E0,-7.758824825E-1,-8.076255322E-1
1.278909250E0,-2.127436161E0,-8.251674771E-1,-1.023291230E0
1.288891250E0,-2.248989820E0,-4.303439558E-1,-1.284888148E0
1.298873250E0,-2.414892197E0,1.167694703E-1,-1.331544042E0
1.308854250E0,-2.634335041E0,3.934803605E-1,-1.205790758E0
1.318836250E0,-2.683942795E0,1.143025383E-1,-1.170926690E0
1.328818250E0,-2.944521904E0,3.017144203E-1,-1.119449258E0
1.338799250E0,-3.008804083E0,5.495743155E-1,-1.201528430E0
1.348781250E0,-2.883418798E0,5.896881819E-1,-1.310519338E0
1.358763250E0,-2.785206079E0,4.769427180E-1,-1.295636535E0
1.368744250E0,-2.747562408E0,4.650601745E-1,-1.146428943E0
1.378726250E0,-2.665390730E0,7.321443558E-1,-9.466239214E-1
1.388708250E0,-2.528074265E0,1.118063092E0,-8.647494912E-1
1.398689250E0,-2.463155031E0,1.455907702E0,-9.296725392E-1
1.408671250E0,-2.374028921E0,2.104850054E0,-8.298705220E-1
1.418653250E0,-2.185551405E0,2.388435125E0,-7.367488742E-1
1.428634250E0,-1.907018781E0,1.751065850E0,-7.681099176E-1
1.438616250E0,-1.708541155E0,4.772567451E-1,-9.809116721E-1
1.448598250E0,-1.750125885E0,-8.090847135E-1,-1.161020279E0
1.458579250E0,-1.893905401E0,-1.422434688E0,-1.297004223E0
1.468561250E0,-1.956150532E0,-1.436934114E0,-1.395994782E0
1.478543250E0,-1.863594770E0,-1.293147326E0,-1.415764451E0
1.488524250E0,-1.720208883E0,-1.459553719E0,-1.438999295E0
1.498506250E0,-1.629660606E0,-1.762841463E0,-1.335082293E0
1.508488250E0,-1.571636796E0,-2.064078569E0,-1.255010843E0
1.518469250E0,-1.488415956E0,-2.602074385E0,-1.254064679E0
1.528451250E0,-1.420460224E0,-3.151559591E0,-1.255726576E0
1.538433250E0,-1.271651506E0,-3.448271751E0,-1.198129892E0
1.548414250E0,-1.036810875E0,-3.549208879E0,-1.047550678E0
1.558396250E0,-8.097460866E-1,-3.411590576E0,-9.413763285E-1
1.568378250E0,-5.118761659E-1,-3.068241119E0,-9.002121091E-1
1.578359250E0,-1.129330024E-1,-2.605265856E0,-7.637197375E-1
1.588341250E0,2.995539010E-1,-2.264077187E0,-6.279283762E-1
1.598323250E0,7.255635262E-1,-2.003614187E0,-4.724594057E-1
1.608304250E0,1.105965614E0,-1.846516490E0,-2.928960323E-1
1.618286250E0,1.472036242E0,-1.700386167E0,-1.285582036E-1
1.628268250E0,1.838511944E0,-1.435557604E0,1.536103059E-2
1.638249250E0,2.123756886E0,-1.147544146E0,1.814149767E-1
1.648231250E0,2.404457092E0,-6.172245741E-1,3.653962314E-1
1.658213250E0,2.584927320E0,-1.480583847E-1,4.688589573E-1
1.668194250E0,2.607524395E0,3.483895212E-2,5.394003987E-1
1.678176250E0,2.461397648E0,-9.269716591E-2,6.064652205E-1
1.688158250E0,2.177520037E0,-4.603138864E-1,7.252439260E-1
1.698139250E0,1.561589599E0,-1.304820418E0,8.072988987E-1
1.708121250E0,6.819519997E-1,-1.590594172E0,6.325600147E-1
1.718103250E0,-1.154103726E-1,-1.147796512E0,1.423442215E-1
1.728084250E0,-6.873186827E-1,-5.833049417E-1,-4.060602784E-1
1.738066250E0,-1.128505707E0,-6.820208430E-1,-7.411453128E-1
1.748048250E0,-1.288579345E0,-1.164824367E0,-9.273692369E-1
1.758029250E0,-1.130903125E0,-1.210843444E0,-9.753437042E-1
1.768011250E0,-8.320418000E-1,-9.595089555E-1,-8.333945274E-1
1.777993250E0,-4.522348344E-1,-7.031557560E-1,-5.489563942E-1
1.787974250E0,-1.138797998E-1,-1.858759969E-1,-2.772112489E-1
1.797956250E0,8.622106910E-2,1.869428456E-1,-4.519797862E-2
1.807938250E0,2.783889472E-1,1.084799051E0,9.485407919E-2
1.817919250E0,4.418673515E-1,2.183440208E0,4.101225436E-1
1.827901250E0,4.281442463E-1,2.641443253E0,7.954435349E-1
1.837883250E0,4.751114845E-1,2.248270512E0,5.800396204E-1
1.847864250E0,5.203000307E-1,1.658913255E0,2.635506392E-1
1.857846250E0,4.078810215E-1,1.660052776E0,3.184690177E-1
1.867828250E0,3.824336529E-1,1.865465164E0,4.760552049E-1
1.877809250E0,6.167212725E-1,2.073536634E0,6.190504432E-1
1.887791250E0,1.034462571E0,2.115715265E0,7.543865442E-1
1.897773250E0,1.432429671E0,2.167981148E0,9.324082136E-1
1.907754250E0,1.661146879E0,2.435221195E0,1.102709532E0
1.917736250E0,1.754298329E0,2.812524557E0,1.280661225E0
1.927718250E0,1.763843060E0,3.006049156E0,1.452076197E0
1.937699250E0,1.739804387E0,2.780256987E0,1.615213990E0
1.947681250E0,1.598770142E0,2.312746525E0,1.757793069E0
1.957663250E0,1.530318618E0,1.534482479E0,1.800724030E0
1.967644250E0,1.676443696E0,4.669128358E-1,1.718827128E0
1.977626250E0,1.820353508E0,-7.625757456E-1,1.309231043E0
1.987608250E0,1.861999869E0,-1.737779617E0,7.673291564E-1
1.997589250E0,1.901358485E0,-1.822553158E0,4.829035699E-1
2.007571250E0,1.857563257E0,-7.807819247E-1,3.687093258E-1
2.017553250E0,1.591731548E0,6.523082256E-1,2.373355627E-1
2.027534250E0,1.189272165E0,1.623696089E0,9.450200945E-2
2.037516250E0,9.985287189E-1,1.814204812E0,-1.184568508E-3
2.047498250E0,1.086313725E0,1.589845777E0,-2.403451875E-2
2.057479250E0,1.187605381E0,1.369523525E0,-1.162791625E-2
2.067461250E0,1.237106323E0,1.140907168E0,3.073128872E-2
